,img,artist,counter
65,//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/ToveLo.jpg/220px-ToveLo.jpg,Tove Lo,
66,//upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Carly_Rae_Jepsen_2010_1.jpg/160px-Carly_Rae_Jepsen_2010_1.jpg,Carly Rae Jepsen,
67,,ZAYN,
68,//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Neon_Trees_Midtown.jpg/220px-Neon_Trees_Midtown.jpg,Neon Trees,
69,,Hot Chelle Rae,
70,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Lukas_Graham_Forchhammer_Stavernfestivalen_%28180541%29.jpg/220px-Lukas_Graham_Forchhammer_Stavernfestivalen_%28180541%29.jpg,Lukas Graham,
71,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Calvin_Harris_001.jpg/200px-Calvin_Harris_001.jpg,Calvin Harris,
72,,Macklemore & Ryan Lewis,
73,//upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Lilly_Wood_%26_The_Prick_at_Rock_en_Seine%2C2011.jpg/245px-Lilly_Wood_%26_The_Prick_at_Rock_en_Seine%2C2011.jpg,Lilly Wood and The Prick,
74,,Usher,
75,//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Ellie_Goulding_%40_Nokia_World_2010_1.jpg/220px-Ellie_Goulding_%40_Nokia_World_2010_1.jpg,Ellie Goulding,
76,//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Franglingham_Castle_01.jpg/220px-Franglingham_Castle_01.jpg,Ed Sheeran,
77,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Olly_Murs_%28Live_X_Factor_Tour%29_1.png/170px-Olly_Murs_%28Live_X_Factor_Tour%29_1.png,Olly Murs,
78,//upload.wikimedia.org/wikipedia/commons/c/cc/Kelly_Clarkson_in_September_2002.jpg,Kelly Clarkson,
79,//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Wiz_Khalifa_%26_Charlie_Puth.jpg/220px-Wiz_Khalifa_%26_Charlie_Puth.jpg,Charlie Puth,
80,,The Wanted,
81,//upload.wikimedia.org/wikipedia/commons/thumb/8/82/Lady_Gaga_at_Lollapalooza_2007_-_cropped.jpg/130px-Lady_Gaga_at_Lollapalooza_2007_-_cropped.jpg,Lady Gaga,
82,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Sam_Smith_2_%2815425586230%29.jpg/170px-Sam_Smith_2_%2815425586230%29.jpg,Sam Smith,
83,,MAGIC!,
84,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/The_Script_performing_in_Sydney.jpg/220px-The_Script_performing_in_Sydney.jpg,The Script,
85,,Birdy,
86,,John Newman,
87,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Luis_Fonsi_%28cropped%29.JPG/170px-Luis_Fonsi_%28cropped%29.JPG,Luis Fonsi,
88,//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Mark_Ronson_%283596317326%29.jpg/180px-Mark_Ronson_%283596317326%29.jpg,Mark Ronson,
89,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Grandview_Blvd_76%2C_Wyomissing_PA.JPG/220px-Grandview_Blvd_76%2C_Wyomissing_PA.JPG,Taylor Swift,
90,//upload.wikimedia.org/wikipedia/commons/thumb/6/61/MAJOR_LAZER_-_COACHELLA_2010.jpg/220px-MAJOR_LAZER_-_COACHELLA_2010.jpg,Major Lazer,
