,artist,counter,img
80,Hailee Steinfeld,3,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/HaileeSteinfeldSept10_%28cropped%29.jpg/170px-HaileeSteinfeldSept10_%28cropped%29.jpg
81,Marshmello,2,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Marshmello_%40_VELD_2016.jpg/275px-Marshmello_%40_VELD_2016.jpg
82,Labrinth,1,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Labrinth_at_the_MEN_Arena%2C_2013.jpg/220px-Labrinth_at_the_MEN_Arena%2C_2013.jpg
83,Daft Punk,2,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Daft_Punk_logo.svg/220px-Daft_Punk_logo.svg.png
84,Kygo,2,//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Kygo_Life_AS_Logo.jpg/220px-Kygo_Life_AS_Logo.jpg
85,The Weeknd,3,//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/The_Weeknd_by_David_Hwang.jpg/220px-The_Weeknd_by_David_Hwang.jpg
86,Clean Bandit,2,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Clean_Bandit_logo.svg/120px-Clean_Bandit_logo.svg.png
87,Hot Chelle Rae,1,nan
88,Wiz Khalifa,1,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Wiz_Khalifa_Columbia_University_Bacchanal_2010.jpg/250px-Wiz_Khalifa_Columbia_University_Bacchanal_2010.jpg
89,Austin Mahone,2,nan
90,Troye Sivan,1,//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Troye_Sivan_%2819425360992%29.jpg/220px-Troye_Sivan_%2819425360992%29.jpg
91,Hozier,1,nan
92,Bastille,1,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Bastille_reconstruction_1420.jpg/300px-Bastille_reconstruction_1420.jpg
93,Lost Frequencies,2,nan
94,Olly Murs,1,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Olly_Murs_%28Live_X_Factor_Tour%29_1.png/170px-Olly_Murs_%28Live_X_Factor_Tour%29_1.png
95,Robin Schulz,1,nan
96,John Legend,1,//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/John_Legend_performing_in_Pennsylvania.jpg/170px-John_Legend_performing_in_Pennsylvania.jpg
97,Iggy Azalea,1,//upload.wikimedia.org/wikipedia/commons/thumb/1/10/Aerial_panorama_of_Mullumbimby%2C_NSW.jpg/220px-Aerial_panorama_of_Mullumbimby%2C_NSW.jpg
98,G-Eazy,2,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/G-Eazy_2013.png/220px-G-Eazy_2013.png
99,Fifth Harmony,2,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Fifth_Harmony_X_Factor_2012.jpg/330px-Fifth_Harmony_X_Factor_2012.jpg
100,Shakira,1,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Shakira_in_concert.jpg/170px-Shakira_in_concert.jpg
101,Daddy Yankee,1,//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/DaddyYankee.jpg/220px-DaddyYankee.jpg
102,Far East Movement,1,//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/FarEastMovement.jpg/220px-FarEastMovement.jpg
103,Charlie Puth,1,//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Wiz_Khalifa_%26_Charlie_Puth.jpg/220px-Wiz_Khalifa_%26_Charlie_Puth.jpg
104,RedOne,1,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lady_Gaga_BTW_Ball_Antwerp_02.jpg/170px-Lady_Gaga_BTW_Ball_Antwerp_02.jpg
105,Cardi B,2,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Cardi_B_2016.jpg/170px-Cardi_B_2016.jpg
106,Pharrell Williams,1,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/PHARRELL_WILLIAMS_by_foto_di_matti.jpg/170px-PHARRELL_WILLIAMS_by_foto_di_matti.jpg
107,Rudimental,2,nan
108,Luis Fonsi,1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Luis_Fonsi_%28cropped%29.JPG/170px-Luis_Fonsi_%28cropped%29.JPG
109,Tove Lo,1,//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/ToveLo.jpg/220px-ToveLo.jpg
110,Lukas Graham,1,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Lukas_Graham_Forchhammer_Stavernfestivalen_%28180541%29.jpg/220px-Lukas_Graham_Forchhammer_Stavernfestivalen_%28180541%29.jpg
111,Tinie Tempah,1,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Tinie_Tempah_Toronto_2011.jpg/180px-Tinie_Tempah_Toronto_2011.jpg
112,Silk City,1,nan
113,Nick Jonas,1,//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/NickJonasJul09.jpg/170px-NickJonasJul09.jpg
114,Harry Styles,1,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/One_Direction_X_Factor_Live_Glasgow.jpg/220px-One_Direction_X_Factor_Live_Glasgow.jpg
115,Birdy,1,nan
116,John Newman,1,nan
117,Mabel,1,nan
118,James Arthur,1,nan
119,Avril Lavigne,1,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/AvrilShow_cropped.jpg/220px-AvrilShow_cropped.jpg
120,Flo Rida,2,//upload.wikimedia.org/wikipedia/commons/thumb/6/62/Flo_Rida_Cropped.jpg/170px-Flo_Rida_Cropped.jpg
121,Passenger,1,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Passengers_on_a_Boat.JPG/220px-Passengers_on_a_Boat.JPG
122,Zara Larsson,1,//upload.wikimedia.org/wikipedia/commons/thumb/5/58/Zara_Larsson_%28cropped%29.jpg/170px-Zara_Larsson_%28cropped%29.jpg
123,Icona Pop,1,//upload.wikimedia.org/wikipedia/commons/thumb/2/23/Icona_Pop_StyleNite.jpg/220px-Icona_Pop_StyleNite.jpg
124,Christina Perri,1,//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Christina_Perri.jpg/170px-Christina_Perri.jpg
125,Lana Del Rey,1,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Lana_Turner_1944_photo.jpg/200px-Lana_Turner_1944_photo.jpg
126,MAGIC!,1,nan
127,fun.,1,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Fun._Concert_in_Vegas_Nate_and_Jack.jpg/220px-Fun._Concert_in_Vegas_Nate_and_Jack.jpg
128,Khalid,1,nan
129,A Great Big World,1,//upload.wikimedia.org/wikipedia/commons/thumb/6/65/A_Great_Big_World_Performing_Live_2_%28cropped%29.jpg/220px-A_Great_Big_World_Performing_Live_2_%28cropped%29.jpg
130,Chris Brown,1,//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/ChrisBrown.jpg/180px-ChrisBrown.jpg
131,Lewis Capaldi,1,//upload.wikimedia.org/wikipedia/commons/thumb/5/52/Lewis_Capaldi_-_Ilosaarirock_2018_-_07.jpg/170px-Lewis_Capaldi_-_Ilosaarirock_2018_-_07.jpg
132,The Script,1,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/The_Script_performing_in_Sydney.jpg/220px-The_Script_performing_in_Sydney.jpg
133,Halsey,1,nan
